#      face_x        face_y        face_z
     0.611301       1.10536       1.10593
     0.310027       1.15458       1.10565
     0.612619       1.20627       1.10465
     0.504754      0.714451       1.15459
         0.31      0.906226       1.15626
     0.804257       0.90412       1.16877
     0.612438      0.957892       1.15636
      0.61024       1.00599       1.15608
     0.804726       1.01082       1.15315
     0.504905       1.05118       1.15324
         0.61       1.05621       1.15618
         0.31       1.10553       1.15493
         0.61        1.1062       1.15623
     0.805395       1.10547       1.15994
         0.31      0.859218       1.20328
     0.311158      0.906804       1.20617
         0.31       0.95625       1.20625
     0.804237      0.953786       1.21731
         0.31       1.00617       1.20648
     0.804917       1.01311       1.20643
         0.31       1.10569        1.2068
     0.804955       1.10271       1.20199
     0.504491      0.758564       1.24707
     0.505009       0.80611        1.2498
     0.804885      0.865901       1.25775
     0.312531      0.959409       1.25494
     0.311425        1.0064       1.25553
     0.503805      0.995877       1.25622
     0.311594        1.1072       1.25413
     0.504444      0.816806       1.30634
        0.805       1.04834       1.30586
     0.504476      0.853618       1.34708
     0.251979      0.895177      0.646347
     0.251966       0.90491      0.646377
         0.25       0.89416      0.656832
         0.25      0.894156       0.69375
         0.25      0.905844       0.69375
     0.742688       1.00851      0.664922
     0.742063       1.03719      0.693743
     0.558355      0.702908      0.741598
     0.551856      0.708469      0.742515
         0.55      0.743637      0.743865
     0.556456       0.74165      0.709193
         0.25      0.794233      0.744959
         0.55      0.755919      0.744089
     0.557786      0.799306        0.7493
         0.25      0.806303      0.744207
         0.25      0.843566      0.744784
     0.551655      0.807558      0.746317
         0.55      0.843846      0.743882
     0.558353      0.846767      0.717698
     0.742097      0.853097      0.742977
         0.25       0.89415      0.706255
     0.250846      0.856579      0.745096
         0.25      0.893756      0.743409
         0.55       0.85624      0.743806
     0.556385      0.887284      0.742077
     0.742952      0.893072       0.71418
         0.25      0.906244      0.743409
     0.250846      0.943421      0.745096
      0.74167      0.904114      0.715143
     0.442614       1.00332      0.747141
         0.25       1.00577      0.744959
     0.442808       1.03939      0.748963
     0.742014       1.03633      0.705898
     0.857184       0.69888      0.798169
         0.55      0.743755      0.756258
         0.55      0.743844      0.793266
     0.851031      0.707578      0.795099
         0.85      0.742827       0.79443
         0.25      0.793919      0.756518
         0.25      0.793863      0.793303
     0.551292       0.79579      0.758376
     0.550722      0.756537      0.793085
     0.556784      0.796131      0.789897
         0.85      0.793799      0.794414
         0.25      0.843688      0.756443
         0.25      0.806261      0.793752
         0.55      0.843754      0.756257
     0.551902      0.807402      0.790822
     0.743521      0.842445      0.762958
     0.743114      0.815175      0.792414
     0.850943      0.806287      0.793758
     0.851048       0.84494      0.796508
     0.251605      0.894723      0.753643
     0.257851      0.854354      0.784434
         0.55      0.856292      0.793734
         0.55       0.89375       0.79375
         0.85      0.855988      0.796232
         0.25      0.943854      0.756427
     0.257851      0.945646      0.784434
     0.442644      0.946637      0.765268
         0.55       0.90623      0.793757
      0.55742      0.934117      0.760045
     0.556321       0.94492      0.799346
     0.557754      0.938119      0.793297
         0.25       0.99372       0.75634
         0.25      0.993739      0.793752
     0.443628       0.95627      0.763666
     0.443729       1.00117      0.756557
     0.556252      0.957256      0.797363
     0.741764       1.00132      0.791877
         0.25       1.00614      0.793303
     0.256669       1.03589       0.75772
     0.257254       1.04228      0.800933
     0.741741       1.04144      0.767616
     0.442106       1.10835      0.803685
     0.443696       1.18591      0.793811
         0.85      0.594305       0.84606
         0.85      0.606273      0.845972
     0.856892      0.641504      0.847855
         0.55        0.6938      0.843821
     0.557149      0.697599      0.810789
     0.556807      0.658952      0.845528
     0.851829      0.696584      0.807908
         0.85      0.693935       0.84383
     0.257084      0.747475      0.809286
     0.257854      0.746359      0.855305
     0.388734      0.744201      0.844094
         0.55      0.743944      0.805472
         0.55      0.706254      0.843757
     0.551473      0.741155       0.84255
         0.85      0.743791       0.80623
         0.85      0.706302      0.843757
         0.25      0.793784      0.806263
         0.25      0.793723      0.843818
         0.39      0.793719      0.843882
     0.742956      0.794272      0.813363
         0.85        0.7938      0.806402
         0.85      0.756254      0.843742
         0.85       0.79375      0.843726
     0.250762      0.842582      0.806685
         0.25      0.806155      0.843575
     0.256303      0.840804      0.839437
         0.39      0.805651       0.84407
     0.550632      0.845182      0.806467
     0.558354      0.846888      0.833412
     0.743526      0.804938      0.812671
         0.85      0.843745      0.806671
         0.85      0.806256      0.843732
         0.85       0.84373      0.843758
         0.55      0.893754      0.806243
     0.550627      0.895265       0.84409
     0.558004      0.856822      0.835032
     0.742203      0.892619      0.831393
         0.85      0.856056      0.843802
      0.85633      0.893551      0.850492
     0.550647      0.943611      0.806928
         0.55      0.906452      0.843687
         0.55      0.943732      0.843744
         0.25      0.993744      0.806253
         0.25      0.993845      0.843575
     0.256303      0.959196      0.839437
         0.55      0.956043      0.843703
     0.556591      0.985867      0.807963
     0.742693       1.00155      0.845464
      0.91126      0.956617      0.844613
         0.91      0.993748      0.843761
     0.251136       1.04291      0.807865
         0.25       1.00628      0.843818
     0.442143        1.0454       0.83388
     0.911524       1.04287      0.807582
         0.91       1.00625      0.843761
         0.91       1.04375      0.843755
     0.443083       1.05625      0.836878
         0.91       1.09373       0.80919
         0.91       1.05625      0.843761
         0.91       1.09374      0.843757
         0.91       1.10614      0.843799
     0.442682         1.185      0.803932
     0.442946       1.15623      0.838295
         0.85      0.594301      0.856643
     0.857162      0.598001      0.888975
      0.38735      0.644751      0.893934
     0.850833      0.643974      0.856829
     0.851805      0.607778      0.891345
         0.85      0.643837      0.893655
     0.388402      0.658304      0.857233
         0.39       0.65681      0.893845
     0.389534      0.693383      0.893756
